INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	140	1	1	1	1
MIN	160	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
73	140	1	1	1	1
73	140	1	1	1	2
73	140	1	1	1	3
66	140	1	1	2	1
66	140	1	1	2	2
66	140	1	1	2	3
44	140	1	1	3	1
44	140	1	1	3	2
44	140	1	1	3	3
73	140	1	2	1	1
73	140	1	2	1	2
73	140	1	2	1	3
66	140	1	2	2	1
66	140	1	2	2	2
66	140	1	2	2	3
44	140	1	2	3	1
44	140	1	2	3	2
44	140	1	2	3	3
73	140	1	3	1	1
73	140	1	3	1	2
73	140	1	3	1	3
66	140	1	3	2	1
66	140	1	3	2	2
66	140	1	3	2	3
44	140	1	3	3	1
44	140	1	3	3	2
44	140	1	3	3	3
54	140	2	1	1	1
54	140	2	1	1	2
54	140	2	1	1	3
54	140	2	1	2	1
54	140	2	1	2	2
54	140	2	1	2	3
54	140	2	1	3	1
54	140	2	1	3	2
54	140	2	1	3	3
54	140	2	2	1	1
54	140	2	2	1	2
54	140	2	2	1	3
54	140	2	2	2	1
54	140	2	2	2	2
54	140	2	2	2	3
54	140	2	2	3	1
54	140	2	2	3	2
54	140	2	2	3	3
54	140	2	3	1	1
54	140	2	3	1	2
54	140	2	3	1	3
54	140	2	3	2	1
54	140	2	3	2	2
54	140	2	3	2	3
54	140	2	3	3	1
54	140	2	3	3	2
54	140	2	3	3	3
5	140	3	1	1	1
5	140	3	1	1	2
5	140	3	1	1	3
5	140	3	1	2	1
5	140	3	1	2	2
5	140	3	1	2	3
5	140	3	1	3	1
5	140	3	1	3	2
5	140	3	1	3	3
5	140	3	2	1	1
5	140	3	2	1	2
5	140	3	2	1	3
5	140	3	2	2	1
5	140	3	2	2	2
5	140	3	2	2	3
5	140	3	2	3	1
5	140	3	2	3	2
5	140	3	2	3	3
5	140	3	3	1	1
5	140	3	3	1	2
5	140	3	3	1	3
5	140	3	3	2	1
5	140	3	3	2	2
5	140	3	3	2	3
5	140	3	3	3	1
5	140	3	3	3	2
5	140	3	3	3	3
73	141	1	1	1	1
73	141	1	1	1	2
73	141	1	1	1	3
69	141	1	1	2	1
69	141	1	1	2	2
69	141	1	1	2	3
45	141	1	1	3	1
45	141	1	1	3	2
45	141	1	1	3	3
73	141	1	2	1	1
73	141	1	2	1	2
73	141	1	2	1	3
69	141	1	2	2	1
69	141	1	2	2	2
69	141	1	2	2	3
45	141	1	2	3	1
45	141	1	2	3	2
45	141	1	2	3	3
73	141	1	3	1	1
73	141	1	3	1	2
73	141	1	3	1	3
69	141	1	3	2	1
69	141	1	3	2	2
69	141	1	3	2	3
45	141	1	3	3	1
45	141	1	3	3	2
45	141	1	3	3	3
53	141	2	1	1	1
53	141	2	1	1	2
53	141	2	1	1	3
53	141	2	1	2	1
53	141	2	1	2	2
53	141	2	1	2	3
53	141	2	1	3	1
53	141	2	1	3	2
53	141	2	1	3	3
53	141	2	2	1	1
53	141	2	2	1	2
53	141	2	2	1	3
53	141	2	2	2	1
53	141	2	2	2	2
53	141	2	2	2	3
53	141	2	2	3	1
53	141	2	2	3	2
53	141	2	2	3	3
53	141	2	3	1	1
53	141	2	3	1	2
53	141	2	3	1	3
53	141	2	3	2	1
53	141	2	3	2	2
53	141	2	3	2	3
53	141	2	3	3	1
53	141	2	3	3	2
53	141	2	3	3	3
5	141	3	1	1	1
5	141	3	1	1	2
5	141	3	1	1	3
5	141	3	1	2	1
5	141	3	1	2	2
5	141	3	1	2	3
5	141	3	1	3	1
5	141	3	1	3	2
5	141	3	1	3	3
5	141	3	2	1	1
5	141	3	2	1	2
5	141	3	2	1	3
5	141	3	2	2	1
5	141	3	2	2	2
5	141	3	2	2	3
5	141	3	2	3	1
5	141	3	2	3	2
5	141	3	2	3	3
5	141	3	3	1	1
5	141	3	3	1	2
5	141	3	3	1	3
5	141	3	3	2	1
5	141	3	3	2	2
5	141	3	3	2	3
5	141	3	3	3	1
5	141	3	3	3	2
5	141	3	3	3	3
72	142	1	1	1	1
72	142	1	1	1	2
72	142	1	1	1	3
69	142	1	1	2	1
69	142	1	1	2	2
69	142	1	1	2	3
45	142	1	1	3	1
45	142	1	1	3	2
45	142	1	1	3	3
72	142	1	2	1	1
72	142	1	2	1	2
72	142	1	2	1	3
69	142	1	2	2	1
69	142	1	2	2	2
69	142	1	2	2	3
45	142	1	2	3	1
45	142	1	2	3	2
45	142	1	2	3	3
72	142	1	3	1	1
72	142	1	3	1	2
72	142	1	3	1	3
69	142	1	3	2	1
69	142	1	3	2	2
69	142	1	3	2	3
45	142	1	3	3	1
45	142	1	3	3	2
45	142	1	3	3	3
53	142	2	1	1	1
53	142	2	1	1	2
53	142	2	1	1	3
53	142	2	1	2	1
53	142	2	1	2	2
53	142	2	1	2	3
53	142	2	1	3	1
53	142	2	1	3	2
53	142	2	1	3	3
53	142	2	2	1	1
53	142	2	2	1	2
53	142	2	2	1	3
53	142	2	2	2	1
53	142	2	2	2	2
53	142	2	2	2	3
53	142	2	2	3	1
53	142	2	2	3	2
53	142	2	2	3	3
53	142	2	3	1	1
53	142	2	3	1	2
53	142	2	3	1	3
53	142	2	3	2	1
53	142	2	3	2	2
53	142	2	3	2	3
53	142	2	3	3	1
53	142	2	3	3	2
53	142	2	3	3	3
5	142	3	1	1	1
5	142	3	1	1	2
5	142	3	1	1	3
5	142	3	1	2	1
5	142	3	1	2	2
5	142	3	1	2	3
5	142	3	1	3	1
5	142	3	1	3	2
5	142	3	1	3	3
5	142	3	2	1	1
5	142	3	2	1	2
5	142	3	2	1	3
5	142	3	2	2	1
5	142	3	2	2	2
5	142	3	2	2	3
5	142	3	2	3	1
5	142	3	2	3	2
5	142	3	2	3	3
5	142	3	3	1	1
5	142	3	3	1	2
5	142	3	3	1	3
5	142	3	3	2	1
5	142	3	3	2	2
5	142	3	3	2	3
5	142	3	3	3	1
5	142	3	3	3	2
5	142	3	3	3	3
75	143	1	1	1	1
75	143	1	1	1	2
75	143	1	1	1	3
70	143	1	1	2	1
70	143	1	1	2	2
70	143	1	1	2	3
44	143	1	1	3	1
44	143	1	1	3	2
44	143	1	1	3	3
75	143	1	2	1	1
75	143	1	2	1	2
75	143	1	2	1	3
70	143	1	2	2	1
70	143	1	2	2	2
70	143	1	2	2	3
44	143	1	2	3	1
44	143	1	2	3	2
44	143	1	2	3	3
75	143	1	3	1	1
75	143	1	3	1	2
75	143	1	3	1	3
70	143	1	3	2	1
70	143	1	3	2	2
70	143	1	3	2	3
44	143	1	3	3	1
44	143	1	3	3	2
44	143	1	3	3	3
53	143	2	1	1	1
53	143	2	1	1	2
53	143	2	1	1	3
53	143	2	1	2	1
53	143	2	1	2	2
53	143	2	1	2	3
53	143	2	1	3	1
53	143	2	1	3	2
53	143	2	1	3	3
53	143	2	2	1	1
53	143	2	2	1	2
53	143	2	2	1	3
53	143	2	2	2	1
53	143	2	2	2	2
53	143	2	2	2	3
53	143	2	2	3	1
53	143	2	2	3	2
53	143	2	2	3	3
53	143	2	3	1	1
53	143	2	3	1	2
53	143	2	3	1	3
53	143	2	3	2	1
53	143	2	3	2	2
53	143	2	3	2	3
53	143	2	3	3	1
53	143	2	3	3	2
53	143	2	3	3	3
4	143	3	1	1	1
4	143	3	1	1	2
4	143	3	1	1	3
4	143	3	1	2	1
4	143	3	1	2	2
4	143	3	1	2	3
4	143	3	1	3	1
4	143	3	1	3	2
4	143	3	1	3	3
4	143	3	2	1	1
4	143	3	2	1	2
4	143	3	2	1	3
4	143	3	2	2	1
4	143	3	2	2	2
4	143	3	2	2	3
4	143	3	2	3	1
4	143	3	2	3	2
4	143	3	2	3	3
4	143	3	3	1	1
