INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	111	1	1	1	1
MIN	200	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
1	111	1	1	1	1
1	111	1	1	1	2
1	111	1	1	1	3
0	111	1	1	2	1
0	111	1	1	2	2
0	111	1	1	2	3
0	111	1	1	3	1
0	111	1	1	3	2
0	111	1	1	3	3
1	111	1	2	1	1
1	111	1	2	1	2
1	111	1	2	1	3
0	111	1	2	2	1
0	111	1	2	2	2
0	111	1	2	2	3
0	111	1	2	3	1
0	111	1	2	3	2
0	111	1	2	3	3
1	111	1	3	1	1
1	111	1	3	1	2
1	111	1	3	1	3
0	111	1	3	2	1
0	111	1	3	2	2
0	111	1	3	2	3
0	111	1	3	3	1
0	111	1	3	3	2
0	111	1	3	3	3
0	111	2	1	1	1
0	111	2	1	1	2
0	111	2	1	1	3
0	111	2	1	2	1
0	111	2	1	2	2
0	111	2	1	2	3
0	111	2	1	3	1
0	111	2	1	3	2
0	111	2	1	3	3
0	111	2	2	1	1
0	111	2	2	1	2
0	111	2	2	1	3
0	111	2	2	2	1
0	111	2	2	2	2
0	111	2	2	2	3
0	111	2	2	3	1
0	111	2	2	3	2
0	111	2	2	3	3
0	111	2	3	1	1
0	111	2	3	1	2
0	111	2	3	1	3
0	111	2	3	2	1
0	111	2	3	2	2
0	111	2	3	2	3
0	111	2	3	3	1
0	111	2	3	3	2
0	111	2	3	3	3
0	111	3	1	1	1
0	111	3	1	1	2
0	111	3	1	1	3
0	111	3	1	2	1
0	111	3	1	2	2
0	111	3	1	2	3
0	111	3	1	3	1
0	111	3	1	3	2
0	111	3	1	3	3
0	111	3	2	1	1
0	111	3	2	1	2
0	111	3	2	1	3
0	111	3	2	2	1
0	111	3	2	2	2
0	111	3	2	2	3
0	111	3	2	3	1
0	111	3	2	3	2
0	111	3	2	3	3
0	111	3	3	1	1
0	111	3	3	1	2
0	111	3	3	1	3
0	111	3	3	2	1
0	111	3	3	2	2
0	111	3	3	2	3
0	111	3	3	3	1
0	111	3	3	3	2
0	111	3	3	3	3
0	112	1	1	1	1
0	112	1	1	1	2
0	112	1	1	1	3
0	112	1	1	2	1
0	112	1	1	2	2
0	112	1	1	2	3
0	112	1	1	3	1
0	112	1	1	3	2
0	112	1	1	3	3
0	112	1	2	1	1
0	112	1	2	1	2
0	112	1	2	1	3
0	112	1	2	2	1
0	112	1	2	2	2
0	112	1	2	2	3
0	112	1	2	3	1
0	112	1	2	3	2
0	112	1	2	3	3
0	112	1	3	1	1
0	112	1	3	1	2
0	112	1	3	1	3
0	112	1	3	2	1
0	112	1	3	2	2
0	112	1	3	2	3
0	112	1	3	3	1
0	112	1	3	3	2
0	112	1	3	3	3
0	112	2	1	1	1
0	112	2	1	1	2
0	112	2	1	1	3
0	112	2	1	2	1
0	112	2	1	2	2
0	112	2	1	2	3
0	112	2	1	3	1
0	112	2	1	3	2
0	112	2	1	3	3
0	112	2	2	1	1
0	112	2	2	1	2
0	112	2	2	1	3
0	112	2	2	2	1
0	112	2	2	2	2
0	112	2	2	2	3
0	112	2	2	3	1
0	112	2	2	3	2
0	112	2	2	3	3
0	112	2	3	1	1
0	112	2	3	1	2
0	112	2	3	1	3
0	112	2	3	2	1
0	112	2	3	2	2
0	112	2	3	2	3
0	112	2	3	3	1
0	112	2	3	3	2
0	112	2	3	3	3
0	112	3	1	1	1
0	112	3	1	1	2
0	112	3	1	1	3
0	112	3	1	2	1
0	112	3	1	2	2
0	112	3	1	2	3
0	112	3	1	3	1
0	112	3	1	3	2
0	112	3	1	3	3
0	112	3	2	1	1
0	112	3	2	1	2
0	112	3	2	1	3
0	112	3	2	2	1
0	112	3	2	2	2
0	112	3	2	2	3
0	112	3	2	3	1
0	112	3	2	3	2
0	112	3	2	3	3
0	112	3	3	1	1
0	112	3	3	1	2
0	112	3	3	1	3
0	112	3	3	2	1
0	112	3	3	2	2
0	112	3	3	2	3
0	112	3	3	3	1
0	112	3	3	3	2
0	112	3	3	3	3
0	113	1	1	1	1
0	113	1	1	1	2
0	113	1	1	1	3
0	113	1	1	2	1
0	113	1	1	2	2
0	113	1	1	2	3
0	113	1	1	3	1
0	113	1	1	3	2
0	113	1	1	3	3
0	113	1	2	1	1
0	113	1	2	1	2
0	113	1	2	1	3
0	113	1	2	2	1
0	113	1	2	2	2
0	113	1	2	2	3
0	113	1	2	3	1
0	113	1	2	3	2
0	113	1	2	3	3
0	113	1	3	1	1
0	113	1	3	1	2
0	113	1	3	1	3
0	113	1	3	2	1
0	113	1	3	2	2
0	113	1	3	2	3
0	113	1	3	3	1
0	113	1	3	3	2
0	113	1	3	3	3
1	113	2	1	1	1
1	113	2	1	1	2
1	113	2	1	1	3
1	113	2	1	2	1
1	113	2	1	2	2
1	113	2	1	2	3
0	113	2	1	3	1
0	113	2	1	3	2
0	113	2	1	3	3
1	113	2	2	1	1
1	113	2	2	1	2
1	113	2	2	1	3
1	113	2	2	2	1
1	113	2	2	2	2
1	113	2	2	2	3
0	113	2	2	3	1
0	113	2	2	3	2
0	113	2	2	3	3
1	113	2	3	1	1
1	113	2	3	1	2
1	113	2	3	1	3
1	113	2	3	2	1
1	113	2	3	2	2
1	113	2	3	2	3
0	113	2	3	3	1
0	113	2	3	3	2
0	113	2	3	3	3
0	113	3	1	1	1
0	113	3	1	1	2
0	113	3	1	1	3
0	113	3	1	2	1
0	113	3	1	2	2
0	113	3	1	2	3
0	113	3	1	3	1
0	113	3	1	3	2
0	113	3	1	3	3
0	113	3	2	1	1
0	113	3	2	1	2
0	113	3	2	1	3
0	113	3	2	2	1
0	113	3	2	2	2
0	113	3	2	2	3
0	113	3	2	3	1
0	113	3	2	3	2
0	113	3	2	3	3
0	113	3	3	1	1
0	113	3	3	1	2
0	113	3	3	1	3
0	113	3	3	2	1
0	113	3	3	2	2
0	113	3	3	2	3
0	113	3	3	3	1
0	113	3	3	3	2
0	113	3	3	3	3
4	114	1	1	1	1
4	114	1	1	1	2
4	114	1	1	1	3
0	114	1	1	2	1
0	114	1	1	2	2
0	114	1	1	2	3
0	114	1	1	3	1
0	114	1	1	3	2
0	114	1	1	3	3
4	114	1	2	1	1
4	114	1	2	1	2
4	114	1	2	1	3
0	114	1	2	2	1
0	114	1	2	2	2
0	114	1	2	2	3
0	114	1	2	3	1
0	114	1	2	3	2
0	114	1	2	3	3
4	114	1	3	1	1
4	114	1	3	1	2
4	114	1	3	1	3
0	114	1	3	2	1
0	114	1	3	2	2
0	114	1	3	2	3
0	114	1	3	3	1
0	114	1	3	3	2
0	114	1	3	3	3
4	114	2	1	1	1
4	114	2	1	1	2
4	114	2	1	1	3
0	114	2	1	2	1
0	114	2	1	2	2
0	114	2	1	2	3
0	114	2	1	3	1
0	114	2	1	3	2
0	114	2	1	3	3
4	114	2	2	1	1
4	114	2	2	1	2
4	114	2	2	1	3
0	114	2	2	2	1
0	114	2	2	2	2
0	114	2	2	2	3
0	114	2	2	3	1
0	114	2	2	3	2
0	114	2	2	3	3
4	114	2	3	1	1
4	114	2	3	1	2
4	114	2	3	1	3
0	114	2	3	2	1
0	114	2	3	2	2
0	114	2	3	2	3
0	114	2	3	3	1
0	114	2	3	3	2
0	114	2	3	3	3
4	114	3	1	1	1
4	114	3	1	1	2
4	114	3	1	1	3
0	114	3	1	2	1
0	114	3	1	2	2
0	114	3	1	2	3
0	114	3	1	3	1
0	114	3	1	3	2
0	114	3	1	3	3
4	114	3	2	1	1
4	114	3	2	1	2
4	114	3	2	1	3
0	114	3	2	2	1
0	114	3	2	2	2
0	114	3	2	2	3
0	114	3	2	3	1
0	114	3	2	3	2
0	114	3	2	3	3
4	114	3	3	1	1
4	114	3	3	1	2
4	114	3	3	1	3
0	114	3	3	2	1
0	114	3	3	2	2
0	114	3	3	2	3
0	114	3	3	3	1
0	114	3	3	3	2
0	114	3	3	3	3
12	115	1	1	1	1
12	115	1	1	1	2
12	115	1	1	1	3
0	115	1	1	2	1
0	115	1	1	2	2
0	115	1	1	2	3
0	115	1	1	3	1
0	115	1	1	3	2
0	115	1	1	3	3
12	115	1	2	1	1
12	115	1	2	1	2
12	115	1	2	1	3
0	115	1	2	2	1
0	115	1	2	2	2
0	115	1	2	2	3
0	115	1	2	3	1
0	115	1	2	3	2
0	115	1	2	3	3
12	115	1	3	1	1
12	115	1	3	1	2
12	115	1	3	1	3
0	115	1	3	2	1
0	115	1	3	2	2
0	115	1	3	2	3
0	115	1	3	3	1
0	115	1	3	3	2
0	115	1	3	3	3
24	115	2	1	1	1
24	115	2	1	1	2
24	115	2	1	1	3
0	115	2	1	2	1
0	115	2	1	2	2
0	115	2	1	2	3
1	115	2	1	3	1
1	115	2	1	3	2
1	115	2	1	3	3
24	115	2	2	1	1
24	115	2	2	1	2
24	115	2	2	1	3
0	115	2	2	2	1
0	115	2	2	2	2
0	115	2	2	2	3
1	115	2	2	3	1
1	115	2	2	3	2
1	115	2	2	3	3
24	115	2	3	1	1
24	115	2	3	1	2
24	115	2	3	1	3
0	115	2	3	2	1
0	115	2	3	2	2
0	115	2	3	2	3
1	115	2	3	3	1
1	115	2	3	3	2
1	115	2	3	3	3
19	115	3	1	1	1
19	115	3	1	1	2
19	115	3	1	1	3
14	115	3	1	2	1
14	115	3	1	2	2
14	115	3	1	2	3
2	115	3	1	3	1
2	115	3	1	3	2
2	115	3	1	3	3
19	115	3	2	1	1
19	115	3	2	1	2
19	115	3	2	1	3
14	115	3	2	2	1
14	115	3	2	2	2
14	115	3	2	2	3
2	115	3	2	3	1
2	115	3	2	3	2
2	115	3	2	3	3
19	115	3	3	1	1
19	115	3	3	1	2
19	115	3	3	1	3
14	115	3	3	2	1
14	115	3	3	2	2
14	115	3	3	2	3
2	115	3	3	3	1
2	115	3	3	3	2
2	115	3	3	3	3
20	116	1	1	1	1
20	116	1	1	1	2
20	116	1	1	1	3
3	116	1	1	2	1
3	116	1	1	2	2
3	116	1	1	2	3
0	116	1	1	3	1
0	116	1	1	3	2
0	116	1	1	3	3
20	116	1	2	1	1
20	116	1	2	1	2
20	116	1	2	1	3
3	116	1	2	2	1
3	116	1	2	2	2
3	116	1	2	2	3
0	116	1	2	3	1
0	116	1	2	3	2
0	116	1	2	3	3
20	116	1	3	1	1
20	116	1	3	1	2
20	116	1	3	1	3
3	116	1	3	2	1
3	116	1	3	2	2
3	116	1	3	2	3
0	116	1	3	3	1
0	116	1	3	3	2
0	116	1	3	3	3
28	116	2	1	1	1
28	116	2	1	1	2
28	116	2	1	1	3
21	116	2	1	2	1
21	116	2	1	2	2
21	116	2	1	2	3
5	116	2	1	3	1
5	116	2	1	3	2
5	116	2	1	3	3
28	116	2	2	1	1
28	116	2	2	1	2
28	116	2	2	1	3
21	116	2	2	2	1
21	116	2	2	2	2
21	116	2	2	2	3
5	116	2	2	3	1
5	116	2	2	3	2
5	116	2	2	3	3
28	116	2	3	1	1
28	116	2	3	1	2
28	116	2	3	1	3
21	116	2	3	2	1
21	116	2	3	2	2
21	116	2	3	2	3
5	116	2	3	3	1
5	116	2	3	3	2
5	116	2	3	3	3
20	116	3	1	1	1
20	116	3	1	1	2
20	116	3	1	1	3
18	116	3	1	2	1
18	116	3	1	2	2
18	116	3	1	2	3
16	116	3	1	3	1
16	116	3	1	3	2
16	116	3	1	3	3
20	116	3	2	1	1
20	116	3	2	1	2
20	116	3	2	1	3
18	116	3	2	2	1
18	116	3	2	2	2
18	116	3	2	2	3
16	116	3	2	3	1
16	116	3	2	3	2
16	116	3	2	3	3
20	116	3	3	1	1
20	116	3	3	1	2
20	116	3	3	1	3
18	116	3	3	2	1
18	116	3	3	2	2
18	116	3	3	2	3
16	116	3	3	3	1
16	116	3	3	3	2
16	116	3	3	3	3
14	117	1	1	1	1
14	117	1	1	1	2
14	117	1	1	1	3
28	117	1	1	2	1
28	117	1	1	2	2
28	117	1	1	2	3
3	117	1	1	3	1
3	117	1	1	3	2
3	117	1	1	3	3
14	117	1	2	1	1
14	117	1	2	1	2
14	117	1	2	1	3
28	117	1	2	2	1
28	117	1	2	2	2
28	117	1	2	2	3
3	117	1	2	3	1
3	117	1	2	3	2
3	117	1	2	3	3
14	117	1	3	1	1
14	117	1	3	1	2
14	117	1	3	1	3
28	117	1	3	2	1
28	117	1	3	2	2
28	117	1	3	2	3
3	117	1	3	3	1
3	117	1	3	3	2
3	117	1	3	3	3
14	117	2	1	1	1
14	117	2	1	1	2
14	117	2	1	1	3
20	117	2	1	2	1
20	117	2	1	2	2
20	117	2	1	2	3
22	117	2	1	3	1
22	117	2	1	3	2
22	117	2	1	3	3
14	117	2	2	1	1
14	117	2	2	1	2
14	117	2	2	1	3
20	117	2	2	2	1
20	117	2	2	2	2
20	117	2	2	2	3
22	117	2	2	3	1
22	117	2	2	3	2
22	117	2	2	3	3
14	117	2	3	1	1
14	117	2	3	1	2
14	117	2	3	1	3
20	117	2	3	2	1
20	117	2	3	2	2
20	117	2	3	2	3
22	117	2	3	3	1
22	117	2	3	3	2
22	117	2	3	3	3
13	117	3	1	1	1
13	117	3	1	1	2
13	117	3	1	1	3
8	117	3	1	2	1
8	117	3	1	2	2
8	117	3	1	2	3
5	117	3	1	3	1
5	117	3	1	3	2
5	117	3	1	3	3
13	117	3	2	1	1
13	117	3	2	1	2
13	117	3	2	1	3
8	117	3	2	2	1
8	117	3	2	2	2
8	117	3	2	2	3
5	117	3	2	3	1
5	117	3	2	3	2
5	117	3	2	3	3
13	117	3	3	1	1
13	117	3	3	1	2
13	117	3	3	1	3
8	117	3	3	2	1
8	117	3	3	2	2
8	117	3	3	2	3
5	117	3	3	3	1
5	117	3	3	3	2
5	117	3	3	3	3
24	118	1	1	1	1
24	118	1	1	1	2
24	118	1	1	1	3
29	118	1	1	2	1
29	118	1	1	2	2
29	118	1	1	2	3
10	118	1	1	3	1
10	118	1	1	3	2
10	118	1	1	3	3
24	118	1	2	1	1
24	118	1	2	1	2
24	118	1	2	1	3
29	118	1	2	2	1
29	118	1	2	2	2
29	118	1	2	2	3
10	118	1	2	3	1
10	118	1	2	3	2
10	118	1	2	3	3
24	118	1	3	1	1
24	118	1	3	1	2
24	118	1	3	1	3
29	118	1	3	2	1
29	118	1	3	2	2
29	118	1	3	2	3
10	118	1	3	3	1
10	118	1	3	3	2
10	118	1	3	3	3
22	118	2	1	1	1
22	118	2	1	1	2
22	118	2	1	1	3
24	118	2	1	2	1
24	118	2	1	2	2
24	118	2	1	2	3
15	118	2	1	3	1
15	118	2	1	3	2
15	118	2	1	3	3
22	118	2	2	1	1
22	118	2	2	1	2
22	118	2	2	1	3
24	118	2	2	2	1
24	118	2	2	2	2
24	118	2	2	2	3
15	118	2	2	3	1
15	118	2	2	3	2
15	118	2	2	3	3
22	118	2	3	1	1
22	118	2	3	1	2
22	118	2	3	1	3
24	118	2	3	2	1
24	118	2	3	2	2
24	118	2	3	2	3
15	118	2	3	3	1
15	118	2	3	3	2
15	118	2	3	3	3
