INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	150	1	1	1	1
MIN	200	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
78	150	1	1	1	1
78	150	1	1	1	2
78	150	1	1	1	3
75	150	1	1	2	1
75	150	1	1	2	2
75	150	1	1	2	3
48	150	1	1	3	1
48	150	1	1	3	2
48	150	1	1	3	3
78	150	1	2	1	1
78	150	1	2	1	2
78	150	1	2	1	3
75	150	1	2	2	1
75	150	1	2	2	2
75	150	1	2	2	3
48	150	1	2	3	1
48	150	1	2	3	2
48	150	1	2	3	3
78	150	1	3	1	1
78	150	1	3	1	2
78	150	1	3	1	3
75	150	1	3	2	1
75	150	1	3	2	2
75	150	1	3	2	3
48	150	1	3	3	1
48	150	1	3	3	2
48	150	1	3	3	3
47	150	2	1	1	1
47	150	2	1	1	2
47	150	2	1	1	3
47	150	2	1	2	1
47	150	2	1	2	2
47	150	2	1	2	3
47	150	2	1	3	1
47	150	2	1	3	2
47	150	2	1	3	3
47	150	2	2	1	1
47	150	2	2	1	2
47	150	2	2	1	3
47	150	2	2	2	1
47	150	2	2	2	2
47	150	2	2	2	3
47	150	2	2	3	1
47	150	2	2	3	2
47	150	2	2	3	3
47	150	2	3	1	1
47	150	2	3	1	2
47	150	2	3	1	3
47	150	2	3	2	1
47	150	2	3	2	2
47	150	2	3	2	3
47	150	2	3	3	1
47	150	2	3	3	2
47	150	2	3	3	3
0	150	3	1	1	1
0	150	3	1	1	2
0	150	3	1	1	3
0	150	3	1	2	1
0	150	3	1	2	2
0	150	3	1	2	3
0	150	3	1	3	1
0	150	3	1	3	2
0	150	3	1	3	3
0	150	3	2	1	1
0	150	3	2	1	2
0	150	3	2	1	3
0	150	3	2	2	1
0	150	3	2	2	2
0	150	3	2	2	3
0	150	3	2	3	1
0	150	3	2	3	2
0	150	3	2	3	3
0	150	3	3	1	1
0	150	3	3	1	2
